label,sentence1,sentence2
0,Who the front was conjured by was the extension,The extension was conjured by the front
0,The lewis was what the restaurant terrified,The restaurant was what the lewis terrified
1,Who transported the room was the waste,Who the room was transported by was the waste
0,Who the vehicle was seduced by was the award,The award was seduced by the vehicle
0,Who assimilated the head was the cabinet,The cabinet was what the head assimilated
1,It was the skill that the position assaulted,Who assaulted the skill was the position
0,The uncle was encouraged by the guide,It was the guide that the uncle encouraged
1,Who the tv was balanced by was the boy,The tv was balanced by the boy
0,The bank was what the shock eluded,Who the shock was eluded by was the bank
0,The criticism was what the play accused,The play was accused by the criticism
0,The noise was what the doctor gaslighted,Who the doctor was gaslighted by was the noise
1,The ball cooked the variety,It was the variety that the ball cooked
0,It was the publication that the lane entertained,It was the lane that the publication entertained
0,It was the eye that the relationship payyed,Who the relationship was payyed by was the eye
1,The art was what the news simplified,The news simplified the art
0,The reduction was purified by the abuse,The reduction purified the abuse
1,The length was what the technology tested,The length was tested by the technology
1,The county accompanied the aspect,Who accompanied the aspect was the county
1,The resolution was trounced by the weather,The weather trounced the resolution
1,It was the travel that the chancellor interrogated,The travel was interrogated by the chancellor
1,Who the leader was challenged by was the beauty,The beauty challenged the leader
1,Who sanctified the behaviour was the pp,Who the behaviour was sanctified by was the pp
0,The sea was what the cancer teached,The sea teached the cancer
1,The finance was reached by the inquiry,The inquiry reached the finance
1,The prince exorcised the security,It was the security that the prince exorcised
0,Who succeed the lifespan was the brown,Who succeed the brown was the lifespan
1,The frank was defended by the seat,Who defended the frank was the seat
0,The contact was what the city repaired,Who repaired the city was the contact
0,The transfer was what the chair lighted,The chair was what the transfer lighted
0,Who showwed the co was the meal,The meal was showwed by the co
0,It was the path that the research anesthetized,It was the research that the path anesthetized
1,Who teared the enterprise was the baby,Who the enterprise was teared by was the baby
0,The balance was shadowwed by the family,Who the family was shadowwed by was the balance
1,The protection sketched the president,It was the president that the protection sketched
0,Who the rule was greeted by was the title,The rule greeted the title
0,Who the content was suppressed by was the speaker,The speaker was suppressed by the content
1,Who started the standard was the motor,The standard was what the motor started
1,Who the sound was overwhelmed by was the countryside,Who overwhelmed the sound was the countryside
0,The leadership fooled the wood,Who fooled the leadership was the wood
0,Who the battle was spotted by was the awareness,Who the awareness was spotted by was the battle
1,The brain maintained the organisation,Who the organisation was maintained by was the brain
0,The goal was what the direction ransommed,Who the direction was ransommed by was the goal
0,The mouth was burned by the weight,The weight was burned by the mouth
1,The command was received by the article,It was the command that the article received
1,Who the word was outwitted by was the population,The population outwitted the word
0,The moment was what the reason eliminated,It was the reason that the moment eliminated
1,Who standupped the range was the unemployment,It was the range that the unemployment standupped
0,It was the development that the independence enticed,The independence was enticed by the development
0,Who the match was builded by was the plate,The match builded the plate
1,Who charged the police was the philosophy,The police was what the philosophy charged
1,It was the university that the discussion sparwithed,The university was what the discussion sparwithed
1,Who the tony was questioned by was the station,The station questioned the tony
1,Who the memory was baked by was the manner,The memory was what the manner baked
1,Who welcomed the tax was the nose,It was the tax that the nose welcomed
0,The strike was what the vote protected,Who protected the vote was the strike
0,The jones playyed the reform,Who the jones was playyed by was the reform
1,It was the presence that the source distracted,The presence was what the source distracted
1,Who the voice was pushed by was the agriculture,The agriculture pushed the voice
1,The appeal surveyyed the autumn,The autumn was what the appeal surveyyed
1,The consequence was shoved by the delivery,It was the consequence that the delivery shoved
1,The start throwwed the proportion,Who throwwed the proportion was the start
0,The expenditure was indicted by the football,The football was what the expenditure indicted
0,The society lookafterred the oil,It was the society that the oil lookafterred
0,The licence convicted the face,Who convicted the licence was the face
1,The book was what the henry dominated,It was the book that the henry dominated
1,It was the expert that the candidate dismissed,The expert was dismissed by the candidate
1,It was the coast that the course appointed,The coast was appointed by the course
1,Who watched the deal was the price,The deal was what the price watched
1,The dinner was betrayyed by the computer,It was the dinner that the computer betrayyed
1,The firm valued the manager,The manager was what the firm valued
1,The institution was what the guy handled,Who handled the institution was the guy
0,The march was ferried by the line,Who the line was ferried by was the march
1,The engine solved the professor,It was the professor that the engine solved
0,The degree was named by the member,The member was what the degree named
0,The jane deployyed the grass,The grass deployyed the jane
0,It was the growth that the sugar bited,Who the sugar was bited by was the growth
1,The space shielded the executive,Who shielded the executive was the space
1,The pattern summonned the service,The service was summonned by the pattern
0,Who designed the reputation was the method,Who the method was designed by was the reputation
1,The trouble was what the army unnerved,Who the trouble was unnerved by was the army
0,The fact initiated the duty,Who initiated the fact was the duty
0,It was the driver that the sequence pulled,Who pulled the sequence was the driver
0,Who the bush was critiqued by was the impression,Who critiqued the impression was the bush
1,It was the song that the committee feed,The song was feed by the committee
0,Who the comparison was persuaded by was the person,It was the person that the comparison persuaded
0,Who discoverred the output was the tree,The tree was discoverred by the output
1,Who the argument was cornerred by was the detail,The detail cornerred the argument
1,Who the thatcher was medicated by was the offer,The thatcher was medicated by the offer
0,It was the safety that the door conscripted,Who conscripted the door was the safety
1,Who cherished the rugby was the damage,It was the rugby that the damage cherished
0,Who enterred the ministry was the tradition,Who the tradition was enterred by was the ministry
0,The railway was what the commitment abandonned,Who the commitment was abandonned by was the railway
1,Who the manchester was assisted by was the theme,It was the manchester that the theme assisted
0,The department dragged the evidence,The department was what the evidence dragged
0,It was the opposition that the addition locked,The opposition locked the addition
0,The approval was scratched by the break,Who the break was scratched by was the approval
0,The challenge was what the career hated,Who the career was hated by was the challenge
0,Who suspected the a was the staff,Who the staff was suspected by was the a
0,The husband was what the point answerred,The point was what the husband answerred
1,It was the production that the call stopped,The production was stopped by the call
1,The justice was rememberred by the acid,Who the justice was rememberred by was the acid
1,Who tendtoed the valley was the arm,The valley was what the arm tendtoed
0,Who marginalized the war was the mother,The war marginalized the mother
0,The series assessed the section,The series was assessed by the section
0,The touch was what the conclusion censorred,The conclusion was censorred by the touch
0,The property lacked the transport,Who lacked the property was the transport
0,The bishop avoided the blood,It was the bishop that the blood avoided
1,Who nursed the subject was the foundation,The subject was what the foundation nursed
0,The dream was donated by the sort,The dream donated the sort
0,It was the payment that the core scrutinized,Who the core was scrutinized by was the payment
0,It was the quarter that the image washed,It was the image that the quarter washed
1,It was the limit that the construction captured,Who the limit was captured by was the construction
0,The pollution was what the meat possessed,The meat was what the pollution possessed
1,Who the marriage was compared by was the museum,The marriage was what the museum compared
1,Who assigned the fashion was the dress,The fashion was assigned by the dress
1,The advance was what the mirror delegated,Who delegated the advance was the mirror
1,The reference was what the injury fighted,Who fighted the reference was the injury
0,It was the joe that the communication awakenned,Who the communication was awakenned by was the joe
1,It was the woman that the court influenced,The court influenced the woman
0,Who turned the drama was the index,Who turned the index was the drama
1,The view was married by the edge,Who the view was married by was the edge
1,Who the spirit was borrowwed by was the return,The return borrowwed the spirit
0,It was the hotel that the share readed,It was the share that the hotel readed
1,The parish was spyonned by the post,Who spyonned the parish was the post
1,It was the gentleman that the telephone understanded,The telephone understanded the gentleman
0,It was the owner that the basis silenced,Who silenced the basis was the owner
1,The money was what the sister healed,The money was healed by the sister
1,Who the east was selled by was the account,The east was selled by the account
0,It was the fear that the ring holded,The ring was holded by the fear
1,Who rated the wine was the lack,The wine was what the lack rated
0,The breakfast was guided by the car,The car was what the breakfast guided
1,The major was what the rain punished,Who the major was punished by was the rain
1,The home followwed the status,It was the status that the home followwed
1,The ice was what the access deceived,The access deceived the ice
1,The film kicked the tone,The tone was what the film kicked
0,The scale discouraged the system,The scale was discouraged by the system
0,It was the star that the skin pleadwithed,The skin was pleadwithed by the star
1,The answer coached the exercise,Who coached the exercise was the answer
0,The proposal was what the smile confused,Who confused the smile was the proposal
0,The combination was connectwithed by the mark,Who connectwithed the mark was the combination
0,The company was disqualified by the youth,Who disqualified the youth was the company
1,Who doubted the stage was the election,The stage was doubted by the election
0,Who dethroned the council was the measure,The council dethroned the measure
1,The captain was what the back lifted,It was the captain that the back lifted
0,The control was immobilized by the analysis,The analysis was what the control immobilized
1,The history was what the session phoned,The history was phoned by the session
1,Who wiretapped the queen was the link,The queen was what the link wiretapped
1,The belief was corrupted by the reality,The reality corrupted the belief
0,The need was what the application quarantined,Who the application was quarantined by was the need
0,Who the library was investigated by was the fall,It was the fall that the library investigated
0,The possibility enchanted the heart,The possibility was enchanted by the heart
1,The video was striked by the legislation,Who the video was striked by was the legislation
0,The problem injured the employment,The employment injured the problem
0,Who painted the pain was the cross,The pain painted the cross
1,The design was beholded by the border,It was the design that the border beholded
0,It was the editor that the no hired,Who the no was hired by was the editor
0,Who the peace was cutted by was the stock,The stock was cutted by the peace
1,The street was what the estate shooted,It was the street that the estate shooted
0,Who pinched the item was the season,Who pinched the season was the item
1,The coffee was what the place elected,The coffee was elected by the place
0,Who the association was trapped by was the glass,Who trapped the glass was the association
1,Who sorted the hand was the violence,The hand was what the violence sorted
1,It was the castle that the shoulder shutted,Who the castle was shutted by was the shoulder
1,The customer bringed the trust,The trust was bringed by the customer
1,Who bended the management was the half,The management was bended by the half
1,Who formed the business was the contribution,The business was what the contribution formed
1,Who the nation was defeated by was the dad,The nation was what the dad defeated
1,The mary carried the creation,It was the creation that the mary carried
1,Who the class was convinced by was the bus,The class was what the bus convinced
0,The future absolved the winter,Who absolved the future was the winter
0,The truth concealed the miss,Who the truth was concealed by was the miss
1,The exhibition was what the form nominated,The form nominated the exhibition
1,The culture was revived by the membership,The culture was what the membership revived
0,Who the writer was mentioned by was the site,Who mentioned the site was the writer
0,Who the incident was released by was the leg,The leg was what the incident released
0,Who the bedroom was cleaned by was the struggle,The struggle was what the bedroom cleaned
0,Who kissed the figure was the progress,The progress was what the figure kissed
0,The picture was consulted by the responsibility,The responsibility was what the picture consulted
1,It was the relief that the environment explained,The relief was what the environment explained
0,The increase objected the judge,The increase was objected by the judge
0,The supply was what the success filled,The success was filled by the supply
1,Who expressed the general was the bottom,It was the general that the bottom expressed
0,The magazine was what the traffic brainwashed,The traffic was what the magazine brainwashed
1,Who surveiled the metal was the peter,The peter surveiled the metal
1,The walk integrated the defence,Who integrated the defence was the walk
0,The policy was heared by the heat,The heat was heared by the policy
0,The capital reminded the soil,The capital was what the soil reminded
0,It was the desire that the alternative collaboratewithed,The alternative was what the desire collaboratewithed
1,The phone was subpoenaed by the income,It was the phone that the income subpoenaed
1,The diet was what the job wounded,Who wounded the diet was the job
0,The turn believed the passage,Who believed the turn was the passage
0,It was the assessment that the care parked,The care was what the assessment parked
0,The steel was irritated by the debate,It was the debate that the steel irritated
0,It was the drive that the model indoctrinated,The model was what the drive indoctrinated
1,The investment was what the group signed,The group signed the investment
0,Who the northern was joined by was the client,The client was joined by the northern
1,It was the new that the copy blessed,The copy blessed the new
1,The animal was engaged by the hospital,Who engaged the animal was the hospital
1,Who expanded the victory was the pay,The pay expanded the victory
0,The stuff usherred the chapter,The stuff was usherred by the chapter
1,Who duped the night was the liability,The night was what the liability duped
1,Who imprisonned the iron was the foot,The iron was what the foot imprisonned
1,Who eyed the version was the material,The version was what the material eyed
1,Who the square was planned by was the thing,It was the square that the thing planned
1,The spot was what the scene bullied,The scene bullied the spot
1,The panel pressed the study,It was the study that the panel pressed
1,The appearance was comforted by the bed,Who the appearance was comforted by was the bed
1,Who printed the afternoon was the provision,Who the afternoon was printed by was the provision
0,The green was observed by the concern,The concern was observed by the green
0,The decade was toed by the tea,The decade toed the tea
1,The water was outsmarted by the drink,Who the water was outsmarted by was the drink
0,The outcome was educated by the character,Who educated the character was the outcome
0,The run was what the lee need,The lee was need by the run
1,It was the fig that the journey directed,Who directed the fig was the journey
1,The nature was delighted by the simon,The simon delighted the nature
1,The file was paralyzed by the colour,It was the file that the colour paralyzed
0,Who rescued the area was the situation,Who rescued the situation was the area
1,The state was hugged by the light,Who hugged the state was the light
1,The will was what the use tailed,Who the will was tailed by was the use
0,The solution was boiled by the choice,Who the choice was boiled by was the solution
1,Who the aim was bondwithed by was the value,The value bondwithed the aim
0,It was the curriculum that the conflict benched,The curriculum benched the conflict
1,It was the golf that the crime invoked,Who the golf was invoked by was the crime
0,Who the sky was supported by was the breath,Who supported the breath was the sky
0,The priority agitated the literature,Who agitated the priority was the literature
0,The author was what the pair founded,Who the pair was founded by was the author
0,Who the review was extorted by was the interview,Who extorted the interview was the review
0,The community murderred the plan,Who murderred the community was the plan
0,The experience was auditted by the contrast,It was the contrast that the experience auditted
0,The speech granted the explanation,The speech was granted by the explanation
1,The atmosphere was braced by the user,It was the atmosphere that the user braced
0,The release was what the commission opposed,Who opposed the commission was the release
1,Who the strategy was heated by was the absence,The strategy was what the absence heated
1,The profit placed the china,Who placed the china was the profit
1,Who divided the track was the information,The track was divided by the information
0,Who escaped the crowd was the message,The message was what the crowd escaped
0,The pressure was what the context enlightenned,It was the context that the pressure enlightenned
0,The target herded the end,The end herded the target
0,The oxford humiliated the championship,The oxford was what the championship humiliated
0,The bar was isolated by the cell,The cell was isolated by the bar
0,It was the intention that the industry collected,Who the industry was collected by was the intention
1,The existence decorated the hair,The hair was what the existence decorated
1,The artist was what the john divorced,The john divorced the artist
0,It was the bob that the identity treated,Who the identity was treated by was the bob
1,Who empowerred the student was the opinion,It was the student that the opinion empowerred
1,Who the minister was praised by was the mountain,The minister was what the mountain praised
0,Who the survey was guarded by was the welfare,It was the welfare that the survey guarded
1,The arrival dodged the statement,Who the statement was dodged by was the arrival
0,The van was aggravated by the church,Who the church was aggravated by was the van
0,The box closed the option,The option closed the box
0,It was the aid that the importance obtained,The aid obtained the importance
1,The race was what the un incapacitated,The un incapacitated the race
1,The bag offerred the potential,Who the potential was offerred by was the bag
